koi_pdisposition,koi_score,koi_fpflag_ss,koi_fpflag_nt,koi_fpflag_ec,koi_fpflag_co,koi_depth,koi_period,koi_teq,koi_model_snr
CANDIDATE,0.745,0,0,0,0,20280.0,60.32494216,411.0,347.2
FALSE POSITIVE,0.0,0,0,1,1,816.1,1.540397253,1470.0,38.8
FALSE POSITIVE,0.0,0,0,1,1,589.2,2.99025443,918.0,48.5
CANDIDATE,1.0,0,0,0,0,15044.0,1.5947453740000002,1539.0,1009.3
CANDIDATE,1.0,0,0,0,0,1008.7,4.783002698,886.0,70.6
CANDIDATE,1.0,0,0,0,0,2105.5,20.50588921,518.0,78.5
CANDIDATE,1.0,0,0,0,0,1632.6,3.340218842,656.0,71.6
FALSE POSITIVE,0.0,1,0,0,1,1339.2,2.507089906,1326.0,64.9
CANDIDATE,1.0,0,0,0,0,893.6,18.64932728,701.0,46.1
CANDIDATE,1.0,0,0,0,0,140.7,4.90144976,1262.0,50.6
CANDIDATE,0.998,0,0,0,0,418.0,9.75192101,870.0,28.5
CANDIDATE,1.0,0,0,0,0,993.0,38.5576546,550.0,39.7
CANDIDATE,0.99,0,0,0,0,22335.0,3.5256325389999996,975.0,1996.7
CANDIDATE,1.0,0,0,0,0,4523.6,34.84398644,511.0,76.8
CANDIDATE,1.0,0,0,0,0,2472.1,7.748094238999999,964.0,113.2
CANDIDATE,1.0,0,0,0,0,1182.3,23.96793669,329.0,27.5
CANDIDATE,1.0,0,0,0,0,1558.0,8.11437482,460.0,56.4
FALSE POSITIVE,0.0,1,0,0,0,82872.0,38.036729482,500.0,1300.0
FALSE POSITIVE,0.0,1,0,0,0,2450.6,4.64090031,1155.0,296.9
FALSE POSITIVE,0.0,1,0,1,1,616.0,3.747838198,1031.0,138.2
CANDIDATE,0.992,0,0,0,0,430.2,14.74914825,874.0,107.4
CANDIDATE,1.0,0,0,0,0,1175.4,21.81295996,639.0,37.8
FALSE POSITIVE,0.0,1,0,0,0,15148.0,7.91936937,814.0,389.0
CANDIDATE,1.0,0,0,0,0,15337.0,15.37562369,600.0,166.0
CANDIDATE,1.0,0,0,0,0,887.9,8.10363271,687.0,39.3
CANDIDATE,1.0,0,0,0,0,417.5,4.71510843,823.0,21.3
CANDIDATE,1.0,0,0,0,0,780.7,6.365839713,914.0,70.8
FALSE POSITIVE,0.037,0,0,0,1,962.4,5.97581754,1047.0,50.3
FALSE POSITIVE,0.0,0,0,1,1,1177.9,2.4467373169999997,1261.0,110.2
CANDIDATE,1.0,0,0,0,0,10859.0,3.04033046,1021.0,568.2
CANDIDATE,1.0,0,0,0,0,3081.4,15.33528675,610.0,86.6
CANDIDATE,0.998,0,0,0,0,50.0,7.95825328,1074.0,14.7
CANDIDATE,1.0,0,0,0,0,5073.8,31.33046135,481.0,117.2
FALSE POSITIVE,0.006,1,0,0,0,16228.0,3.9043425,1104.0,323.4
FALSE POSITIVE,0.0,1,0,0,0,44791.0,9.286358079,796.0,1671.1
FALSE POSITIVE,0.0,1,0,0,0,2453.9,3.951405455,1133.0,117.2
CANDIDATE,0.999,0,0,0,0,3341.8,23.65369415,731.0,266.3
CANDIDATE,0.996,0,0,0,0,504.6,13.23352214,888.0,49.1
CANDIDATE,0.997,0,0,0,0,285.0,6.15560285,1146.0,35.1
CANDIDATE,1.0,0,0,0,0,115.9,2.090811305,1642.0,19.9
CANDIDATE,0.995,0,0,0,0,120.3,3.180027898,1458.0,50.4
CANDIDATE,0.989,0,0,0,0,370.3,50.4467417,568.0,19.4
CANDIDATE,0.878,0,0,0,0,862.7,56.2279271,366.0,20.9
FALSE POSITIVE,0.0,1,0,1,1,1268.1,2.384052875,1010.0,50.5
CANDIDATE,1.0,0,0,0,0,875.4,7.953547,696.0,38.4
CANDIDATE,1.0,0,0,0,0,391.8,4.14451656,864.0,22.8
FALSE POSITIVE,0.0,1,0,0,0,6044.3,4.859386384,1114.0,269.7
CANDIDATE,0.999,0,0,0,0,9768.0,10.526294577,713.0,482.3
CANDIDATE,1.0,0,0,0,0,3812.1,4.583520948,1038.0,99.5
CANDIDATE,0.876,0,0,0,0,510.6,3.76181843,1121.0,35.9
CANDIDATE,1.0,0,0,0,0,1024.4,8.20396958,742.0,54.4
CANDIDATE,1.0,0,0,0,0,647.5,14.49645186,613.0,25.7
CANDIDATE,1.0,0,0,0,0,655.9,6.54626149,810.0,24.8
CANDIDATE,1.0,0,0,0,0,1149.4,12.71809866,562.0,52.7
CANDIDATE,0.999,0,0,0,0,1563.8,36.06588163,397.0,51.7
CANDIDATE,1.0,0,0,0,0,2877.4,4.190425659,1234.0,240.6
CANDIDATE,1.0,0,0,0,0,2020.3,3.7098707839999996,1151.0,116.1
CANDIDATE,1.0,0,0,0,0,1187.5,16.3297527,727.0,74.6
CANDIDATE,0.985,0,0,0,0,25391.0,27.807566215999998,554.0,748.1
CANDIDATE,0.942,0,0,0,0,3604.6,80.8723469,452.0,160.9
FALSE POSITIVE,0.0,1,0,0,1,4357.2,3.166465862,954.0,122.1
CANDIDATE,0.912,0,0,0,0,269.6,24.99324319,712.0,62.0
CANDIDATE,1.0,0,0,0,0,750.6,10.35533116,777.0,49.2
CANDIDATE,1.0,0,0,0,0,1442.4,16.08518937,613.0,62.6
CANDIDATE,0.998,0,0,0,0,20715.0,235.9986399,188.0,271.8
CANDIDATE,1.0,0,0,0,0,1123.6,7.49018305,753.0,53.0
CANDIDATE,1.0,0,0,0,0,1572.6,36.2761238,445.0,45.5
CANDIDATE,1.0,0,0,0,0,812.4,17.46087931,568.0,22.6
CANDIDATE,0.996,0,0,0,0,1626.0,56.0560754,233.0,27.4
CANDIDATE,0.974,0,0,0,0,22839.0,41.408316686,453.0,907.8
CANDIDATE,0.994,0,0,0,0,15179.0,39.74893077,552.0,561.1
CANDIDATE,1.0,0,0,0,0,908.1,5.715425977000001,850.0,59.4
CANDIDATE,0.959,0,0,0,0,1646.2,49.18394185,669.0,355.7
CANDIDATE,0.994,0,0,0,0,421.2,20.0261412,559.0,10.7
FALSE POSITIVE,0.0,1,0,0,0,5732.9,13.61014819,733.0,184.1
FALSE POSITIVE,0.0,1,0,1,1,1159.8,10.44331991,667.0,51.7
CANDIDATE,1.0,0,0,0,0,315.8,2.237489571,1160.0,30.7
FALSE POSITIVE,0.0,1,0,0,0,33004.0,5.851520671,901.0,1630.4
CANDIDATE,1.0,0,0,0,0,781.2,3.1678934180000002,1221.0,64.8
CANDIDATE,1.0,0,0,0,0,1154.0,4.311780262,1038.0,86.1
CANDIDATE,1.0,0,0,0,0,840.9,20.0504494,622.0,37.8
CANDIDATE,1.0,0,0,0,0,569.1,9.76734503,791.0,21.1
CANDIDATE,1.0,0,0,0,0,7430.5,119.0207044,366.0,223.5
CANDIDATE,0.987,0,0,0,0,1141.7,190.3200468,426.0,139.3
FALSE POSITIVE,0.0,1,0,0,1,1014.3,2.8611598939999996,1355.0,58.3
CANDIDATE,1.0,0,0,0,0,1843.5,26.44439337,562.0,88.0
CANDIDATE,0.983,0,0,0,0,3644.3,51.53997972,450.0,155.5
CANDIDATE,1.0,0,0,0,0,702.3,5.9022457820000005,926.0,59.3
CANDIDATE,1.0,0,0,0,0,391.6,2.382951591,1253.0,41.4
CANDIDATE,1.0,0,0,0,0,1772.5,21.02250608,521.0,62.4
CANDIDATE,1.0,0,0,0,0,488.2,3.219814777,998.0,30.5
CANDIDATE,1.0,0,0,0,0,961.4,5.912273234,585.0,62.8
CANDIDATE,1.0,0,0,0,0,881.3,8.98581901,509.0,51.8
FALSE POSITIVE,0.0,1,0,0,0,42450.0,12.940668656,723.0,307.5
CANDIDATE,0.573,0,0,0,0,218.5,20.5452375,742.0,18.5
CANDIDATE,1.0,0,0,0,0,7425.9,33.60123371,495.0,247.9
CANDIDATE,1.0,0,0,0,0,450.7,6.76652928,845.0,29.2
CANDIDATE,1.0,0,0,0,0,451.6,4.347288783,1174.0,39.7
CANDIDATE,1.0,0,0,0,0,755.9,4.601811819,896.0,60.8
CANDIDATE,0.997,0,0,0,0,353.6,11.18719905,667.0,21.9
CANDIDATE,1.0,0,0,0,0,2260.0,4.220965778,595.0,157.8
FALSE POSITIVE,0.0,1,0,0,0,20285.0,6.998099523,853.0,192.3
CANDIDATE,1.0,0,0,0,0,1410.7,5.95489993,635.0,87.2
CANDIDATE,1.0,0,0,0,0,1250.6,12.03987488,502.0,57.6
CANDIDATE,0.998,0,0,0,0,439.0,20.83762895,418.0,14.9
FALSE POSITIVE,0.0,1,0,1,1,401.1,8.8111022,1399.0,76.8
CANDIDATE,1.0,0,0,0,0,1200.7,23.58917143,487.0,53.3
CANDIDATE,1.0,0,0,0,0,298.5,6.481633072999999,1145.0,125.6
CANDIDATE,1.0,0,0,0,0,1254.9,10.37168928,720.0,64.5
CANDIDATE,1.0,0,0,0,0,299.2,3.96996298,992.0,15.0
CANDIDATE,1.0,0,0,0,0,549.4,4.40841331,1139.0,45.1
FALSE POSITIVE,0.0,1,0,1,1,1590.7,7.9426176,878.0,60.4
CANDIDATE,1.0,0,0,0,0,3136.4,226.8904775,236.0,46.8
FALSE POSITIVE,0.0,1,0,0,0,24905.0,1.956811408,1109.0,125.4
CANDIDATE,0.997,0,0,0,0,37492.0,2.6888992330000003,929.0,1011.6
CANDIDATE,1.0,0,0,0,0,3036.1,9.439459486,686.0,175.2
CANDIDATE,1.0,0,0,0,0,507.3,11.523067458,927.0,142.0
FALSE POSITIVE,0.0,0,1,0,0,1382.4,20.47748843,530.0,52.7
CANDIDATE,1.0,0,0,0,0,516.3,3.336123113,970.0,41.6
CANDIDATE,1.0,0,0,0,0,1333.6,8.01078456,453.0,48.5
CANDIDATE,1.0,0,0,0,0,759.2,12.07134205,395.0,31.0
CANDIDATE,0.986,0,0,0,0,767.3,20.99587872,328.0,18.2
CANDIDATE,1.0,0,0,0,0,620.5,7.41113177,905.0,50.4
FALSE POSITIVE,0.0,1,0,0,0,1823.5,1.0007470379999999,1620.0,147.4
CANDIDATE,0.999,0,0,0,0,16053.0,8.884922995,770.0,388.2
CANDIDATE,1.0,0,0,0,0,6911.1,8.09888906,986.0,435.9
CANDIDATE,1.0,0,0,0,0,936.1,10.00653012,876.0,71.9
CANDIDATE,0.635,0,0,0,0,9065.2,17.855221681,911.0,915.7
CANDIDATE,1.0,0,0,0,0,6465.7,12.732624065,432.0,210.5
CANDIDATE,0.966,0,0,0,0,7958.7,83.92494032,226.0,182.1
CANDIDATE,1.0,0,0,0,0,6932.3,5.007316661,998.0,431.4
CANDIDATE,1.0,0,0,0,0,724.2,2.211116989,931.0,42.6
CANDIDATE,0.997,0,0,0,0,942.5,27.9541337,400.0,25.4
FALSE POSITIVE,0.415,1,0,0,0,252.1,12.69104387,1008.0,60.2
FALSE POSITIVE,0.228,1,0,0,0,12861.0,4.409409243,1101.0,85.8
CANDIDATE,1.0,0,0,0,0,2590.7,16.23947096,598.0,123.8
CANDIDATE,1.0,0,0,0,0,1328.5,6.308201629,819.0,86.2
CANDIDATE,1.0,0,0,0,0,14281.0,2.052349884,1497.0,1072.1
CANDIDATE,1.0,0,0,0,0,1897.8,9.7704486,460.0,58.0
CANDIDATE,1.0,0,0,0,0,1037.4,5.169804269,569.0,41.4
CANDIDATE,1.0,0,0,0,0,366.0,21.22261195,771.0,114.9
CANDIDATE,1.0,0,0,0,0,1432.1,20.09017037,362.0,36.9
CANDIDATE,0.999,0,0,0,0,807.6,7.11373257,429.0,44.4
CANDIDATE,0.999,0,0,0,0,509.2,3.306551643,554.0,37.8
CANDIDATE,0.998,0,0,0,0,756.1,15.36845737,332.0,30.9
CANDIDATE,1.0,0,0,0,0,1309.7,13.81020318,833.0,46.2
CANDIDATE,1.0,0,0,0,0,538.6,4.093578461,1182.0,36.4
CANDIDATE,0.999,0,0,0,0,685.4,105.145959,401.0,15.4
CANDIDATE,1.0,0,0,0,0,1675.6,10.8484518,499.0,64.5
CANDIDATE,1.0,0,0,0,0,362.3,6.66833241,587.0,14.2
CANDIDATE,0.997,0,0,0,0,17859.0,4.082274889,1016.0,1669.1
CANDIDATE,1.0,0,0,0,0,581.6,3.8866552239999996,1010.0,48.1
CANDIDATE,1.0,0,0,0,0,895.5,42.1406089,349.0,21.6
CANDIDATE,1.0,0,0,0,0,575.8,4.6174905619999995,728.0,28.1
CANDIDATE,0.996,0,0,0,0,634.1,10.19849255,559.0,21.4
FALSE POSITIVE,0.0,1,0,0,1,1692.9,5.795063956,950.0,119.4
CANDIDATE,1.0,0,0,0,0,867.0,7.15681552,782.0,47.7
CANDIDATE,1.0,0,0,0,0,763.3,17.64830851,579.0,23.8
CANDIDATE,0.957,0,0,0,0,175.2,4.14810719,938.0,12.9
CANDIDATE,1.0,0,0,0,0,973.5,16.51410989,655.0,55.9
CANDIDATE,1.0,0,0,0,0,1015.8,30.1329298,536.0,44.8
CANDIDATE,1.0,0,0,0,0,251.3,4.79090809,990.0,21.2
CANDIDATE,1.0,0,0,0,0,363.4,31.71981013,743.0,63.1
CANDIDATE,1.0,0,0,0,0,952.5,99.6415962,360.0,22.7
CANDIDATE,1.0,0,0,0,0,7912.7,4.7083264510000005,1162.0,633.4
FALSE POSITIVE,0.0,0,0,1,1,4147.6,16.37198661,438.0,54.5
CANDIDATE,1.0,0,0,0,0,1151.4,5.392026903,850.0,77.4
CANDIDATE,1.0,0,0,0,0,863.7,2.494170338,1194.0,69.2
CANDIDATE,1.0,0,0,0,0,7163.3,6.491682807999999,1062.0,502.3
FALSE POSITIVE,0.0,1,0,1,1,1695.0,3.0447707960000003,1076.0,203.5
CANDIDATE,0.999,0,0,0,0,16653.0,3.855603916,1212.0,1173.9
FALSE POSITIVE,0.0,0,0,1,1,1030.9,3.8555991389999997,1158.0,90.1
CANDIDATE,0.92,0,0,0,0,23530.0,38.47876629,484.0,1077.8
FALSE POSITIVE,0.0,1,0,0,0,59130.0,37.601661281999995,606.0,1667.3
CANDIDATE,1.0,0,0,0,0,1398.2,3.314947362,1155.0,123.5
FALSE POSITIVE,0.0,1,0,0,1,969.7,6.71969089,952.0,45.4
CANDIDATE,0.996,0,0,0,0,15664.0,39.6431552,472.0,690.3
FALSE POSITIVE,0.0,1,0,0,0,66068.0,51.42598578,549.0,1843.8
CANDIDATE,1.0,0,0,0,0,1144.9,21.80451611,543.0,49.9
CANDIDATE,1.0,0,0,0,0,1110.7,10.28194593,680.0,55.0
CANDIDATE,1.0,0,0,0,0,1506.9,18.11993039,563.0,60.7
CANDIDATE,1.0,0,0,0,0,426.1,3.78402867,949.0,25.6
CANDIDATE,1.0,0,0,0,0,697.5,5.15448142,964.0,48.1
FALSE POSITIVE,0.0,0,1,0,0,13494.0,33.80364366,745.0,529.9
CANDIDATE,1.0,0,0,0,0,1240.2,5.743469797,982.0,79.7
CANDIDATE,1.0,0,0,0,0,1012.6,39.4759093,577.0,26.6
FALSE POSITIVE,0.0,1,0,0,0,40293.0,19.974485239,700.0,1398.8
CANDIDATE,1.0,0,0,0,0,1473.4,3.166353562,1273.0,128.3
FALSE POSITIVE,0.0,1,0,0,0,20953.0,23.899634406999997,652.0,547.8
CANDIDATE,1.0,0,0,0,0,273.6,5.83909761,1097.0,25.2
CANDIDATE,1.0,0,0,0,0,159.6,1.620467654,1681.0,22.7
CANDIDATE,1.0,0,0,0,0,307.8,10.6816951,897.0,21.9
CANDIDATE,1.0,0,0,0,0,2090.3,6.1048494170000005,784.0,293.7
CANDIDATE,0.999,0,0,0,0,11382.0,3.5787805660000003,1145.0,1838.4
FALSE POSITIVE,0.0,1,0,0,1,1037.4,3.187067566,1079.0,37.2
CANDIDATE,1.0,0,0,0,0,1539.1,5.826657507999999,1013.0,81.1
CANDIDATE,0.998,0,0,0,0,611.3,12.41216347,787.0,25.6
CANDIDATE,1.0,0,0,0,0,796.8,18.74649011,686.0,26.7
CANDIDATE,1.0,0,0,0,0,1910.5,20.86021229,781.0,117.0
CANDIDATE,1.0,0,0,0,0,1719.3,42.63427848,615.0,78.7
CANDIDATE,0.973,0,0,0,0,1009.6,87.6476068,484.0,37.5
CANDIDATE,0.975,0,0,0,0,234.0,9.61731426,1010.0,18.2
CANDIDATE,0.953,0,0,0,0,2237.0,9.467821473999999,407.0,124.7
CANDIDATE,0.704,0,0,0,0,741.7,0.8930409690000001,893.0,87.8
CANDIDATE,0.996,0,0,0,0,11145.0,4.9427834189999995,1008.0,2040.7
CANDIDATE,1.0,0,0,0,0,988.4,20.83426731,595.0,45.1
CANDIDATE,1.0,0,0,0,0,994.5,9.94602357,807.0,51.0
CANDIDATE,0.998,0,0,0,0,213.0,1.04562195,1710.0,25.3
CANDIDATE,0.949,0,0,0,0,297.8,5.71462396,971.0,16.7
CANDIDATE,1.0,0,0,0,0,1896.7,102.9641952,797.0,86.1
CANDIDATE,1.0,0,0,0,0,446.8,8.14515981,1050.0,32.2
CANDIDATE,1.0,0,0,0,0,430.7,18.9985279,792.0,16.9
CANDIDATE,0.999,0,0,0,0,174.0,4.24439049,1305.0,15.1
CANDIDATE,1.0,0,0,0,0,3020.3,90.1240507,485.0,57.9
CANDIDATE,1.0,0,0,0,0,824.9,28.5742692,538.0,97.1
CANDIDATE,1.0,0,0,0,0,195.0,0.689210173,1943.0,93.4
CANDIDATE,0.965,0,0,0,0,574.4,7.34373964,839.0,32.2
FALSE POSITIVE,0.0,1,0,0,0,1973.3,0.379463865,3000.0,458.6
FALSE POSITIVE,0.0,1,0,0,0,18541.0,9.88047978,860.0,534.5
FALSE POSITIVE,0.0,0,1,0,0,128.4,4.6484156,2259.0,91.7
FALSE POSITIVE,0.0,1,0,0,0,4511.7,17.512014768,804.0,322.3
FALSE POSITIVE,0.0,1,0,0,0,673.5,3.9886021,3145.0,37.1
FALSE POSITIVE,0.0,1,0,0,1,747.5,0.525154153,2073.0,116.1
FALSE POSITIVE,0.0,0,0,1,1,598.2,1.303861044,1610.0,140.6
FALSE POSITIVE,0.0,0,0,0,1,113.8,2.55549176,1312.0,24.3
FALSE POSITIVE,0.0,1,0,0,0,433.2,2.9473766710000002,2404.0,62.3
CANDIDATE,1.0,0,0,0,0,3487.5,224.7789355,333.0,235.7
FALSE POSITIVE,0.0,1,0,0,1,321.5,0.890110752,1372.0,19.6
FALSE POSITIVE,0.0,0,0,0,1,248.0,5.76573396,1964.0,22.2
CANDIDATE,1.0,0,0,0,0,443.3,7.42608123,1037.0,37.5
CANDIDATE,0.989,0,0,0,0,178.5,15.9868932,803.0,10.9
FALSE POSITIVE,0.0,0,1,0,1,250.2,0.73094589,1922.0,37.5
CANDIDATE,1.0,0,0,0,0,640.9,18.92537246,1171.0,41.0
FALSE POSITIVE,0.0,0,1,1,1,186.2,0.9337491059999999,2863.0,136.3
FALSE POSITIVE,0.0,0,0,1,1,118.6,2.037440623,1572.0,27.0
CANDIDATE,0.994,0,0,0,0,145.1,31.5925809,688.0,25.5
CANDIDATE,0.998,0,0,0,0,30222.0,1.97376085,753.0,1252.5
CANDIDATE,0.632,0,0,0,0,372.2,13.118962443,1768.0,267.4
FALSE POSITIVE,0.0,1,0,1,1,4399.1,4.618767792,1170.0,270.1
FALSE POSITIVE,0.0,0,1,0,0,42.2,7.82187328,2101.0,37.2
CANDIDATE,0.999,0,0,0,0,195.6,53.5057611,675.0,71.2
CANDIDATE,1.0,0,0,0,0,68.9,2.7858212360000003,1784.0,53.6
FALSE POSITIVE,0.0,1,0,0,0,26900.0,52.56901867,737.0,184.3
FALSE POSITIVE,0.0,0,0,0,1,570.6,3.4117586789999996,684.0,35.6
FALSE POSITIVE,0.0,1,0,1,1,324.6,0.5254264270000001,2069.0,63.6
CANDIDATE,1.0,0,0,0,0,340.9,1.269091415,1331.0,73.5
CANDIDATE,1.0,0,0,0,0,393.1,6.79685353,985.0,29.8
FALSE POSITIVE,0.0,1,0,1,1,2121.9,8.667822346,1303.0,187.6
CANDIDATE,0.993,0,0,0,0,154.9,1.4753232219999999,2740.0,27.2
CANDIDATE,1.0,0,0,0,0,223.4,4.15246118,1941.0,24.5
